,id_0,0|order_make,0|remove_obstacle,0|ad_opened,0|ad_finished,0|energy,0|energy_get,0|coin_cost,0|coin_get,0|ruby_cost,0|ruby_get,label
5679,a590e88f0d07f6a4,17.0,108.0,20.0,10.0,10.0,839.0,1670.0,1849.0,28.0,170.0,1
1331,3d9201a844c70069,7.0,53.0,0.0,0.0,81.0,475.0,700.0,1297.0,31.0,54.0,0
654,1fb1a25bc754d697,2.0,21.0,1.0,0.0,5.0,50.0,0.0,565.0,0.0,20.0,0
3193,6743a886e9fd5886,5.0,61.0,0.0,0.0,46.0,475.0,700.0,1294.0,0.0,47.0,1
178,05208a96e649c68e,6.0,27.0,0.0,0.0,8.0,75.0,375.0,1007.0,0.0,36.0,1
1213,38c92cfa801f870f,9.0,77.0,0.0,0.0,4.0,615.0,1375.0,1390.0,30.0,156.0,0
2598,78bc12f97380fd76,8.0,31.0,0.0,0.0,68.0,165.0,0.0,838.0,9.0,41.0,0
3027,62555a2deed9236f,6.0,57.0,0.0,0.0,81.0,475.0,700.0,1248.0,3.0,44.0,1
4255,88646fbbb18b8de2,24.0,86.0,10.0,5.0,0.0,526.0,1490.0,1500.0,49.0,58.0,1
6057,b3eb01a69332a75f,4.0,11.0,0.0,0.0,86.0,60.0,0.0,373.0,0.0,20.0,1
5143,B5948CCC-15E8-4DD6-9E81-D496FA2889F2,10.0,65.0,0.0,0.0,3.0,415.0,805.0,1227.0,17.0,47.0,1
3714,77DE68D7-631D-4C49-B28F-86D1B25A1B51,12.0,36.0,2.0,1.0,41.0,165.0,810.0,901.0,29.0,43.0,1
1802,3EF8818B-EE0A-4A0B-B061-F0E8857DD1B0,14.0,91.0,4.0,2.0,12.0,605.0,700.0,1708.0,25.0,167.0,1
1161,3621b7da8c94c98,2.0,18.0,0.0,0.0,33.0,50.0,0.0,571.0,0.0,20.0,0
7843,f690b7e3ad21e7c9,44.0,65.0,18.0,9.0,9.0,205.0,1275.0,1586.0,40.0,57.0,1
4124,bd231dbc054e144d,9.0,49.0,2.0,1.0,5.0,255.0,790.0,1111.0,25.0,44.0,0
2924,5f14d5eec116ce66,23.0,128.0,0.0,0.0,14.0,880.0,2055.0,2055.0,60.0,67.0,1
3649,75a7421a14cd8a36,6.0,47.0,0.0,0.0,2.0,215.0,0.0,1040.0,0.0,34.0,1
4899,9bf4756551937285,9.0,68.0,0.0,0.0,7.0,565.0,1255.0,1394.0,56.0,58.0,1
1388,2cc5138d3898eedd,11.0,72.0,12.0,6.0,1.0,445.0,0.0,1355.0,44.0,58.0,1
149,071738513993b0dc,0.0,3.0,0.0,0.0,74.0,0.0,0.0,214.0,0.0,5.0,0
380,12bd5ad28b40f46b,3.0,19.0,0.0,0.0,28.0,50.0,0.0,562.0,0.0,20.0,0
808,1C97B510-DF09-4244-872E-1041CD68DBB8,12.0,68.0,0.0,0.0,1.0,505.0,1350.0,1422.0,40.0,58.0,1
4224,c2807fc80f04580e,5.0,27.0,7.0,3.0,2.0,75.0,0.0,875.0,25.0,41.0,0
3354,9f165da54db9b03f,6.0,43.0,2.0,1.0,26.0,265.0,35.0,1092.0,25.0,44.0,0
1231,27d4577d2315a4be,15.0,70.0,0.0,0.0,8.0,543.0,1390.0,1390.0,42.0,54.0,1
6291,bcd4dc72e65486b2,3.0,9.0,0.0,0.0,86.0,50.0,0.0,374.0,0.0,20.0,1
7977,fba722933f0dc262,61.0,142.0,85.0,42.0,1.0,1085.0,2615.0,2632.0,54.0,73.0,1
5855,acf4e7f13ce4cc18,8.0,37.0,0.0,0.0,9.0,75.0,0.0,931.0,0.0,37.0,1
120,05c8b225f970831d,8.0,52.0,0.0,0.0,10.0,355.0,350.0,1158.0,15.0,34.0,0
4397,8c5605680ae44a48,3.0,21.0,0.0,0.0,5.0,50.0,0.0,573.0,0.0,20.0,1
