0|ad_finished,0|coin_get,0|coin_use,0|game_start,0|game_win,0|hint_use,0|ta_app_end,1|ad_finished,1|coin_get,1|coin_use,1|game_start,1|game_win,1|hint_use,1|ta_app_end,2|ad_finished,2|coin_get,2|coin_use,2|game_start,2|game_win,2|hint_use,2|ta_app_end,3|ad_finished,3|coin_get,3|coin_use,3|game_start,3|game_win,3|hint_use,3|ta_app_end,label
0.0,25.0,0.0,6.0,6.0,0.0,414.1880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,200.0,5.0,2.0,4.0,480.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,373.0,500.0,33.0,30.0,12.0,4748.219,0.0,44.0,0.0,7.0,6.0,0.0,2308.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,10.0,9.0,0.0,1898.081,1
0.0,335.0,200.0,22.0,21.0,4.0,2726.961,0.0,10.0,0.0,3.0,2.0,2.0,320.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,686.0,0.0,126.0,122.0,3.0,14189.249,0.0,53.0,0.0,19.0,16.0,0.0,3179.599,0.0,84.0,0.0,11.0,8.0,1.0,1649.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,115.0,0.0,16.0,15.0,1.0,1458.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,53.0,0.0,8.0,8.0,2.0,339.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,100.0,5.0,4.0,1.0,307.16,0
0.0,410.0,0.0,38.0,35.0,1.0,1861.371,0.0,45.0,0.0,11.0,10.0,0.0,798.8689999999999,0.0,0.0,0.0,0.0,0.0,0.0,33.361999999999995,0.0,37.0,0.0,10.0,8.0,0.0,645.34,0
0.0,393.0,500.0,42.0,40.0,12.0,3807.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,100.0,23.0,22.0,2.0,2842.296,0.0,52.0,0.0,18.0,17.0,0.0,2295.596,0
0.0,109.0,0.0,7.0,6.0,2.0,174.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,403.0,0.0,44.0,44.0,1.0,3023.16,1.0,107.0,0.0,22.0,21.0,2.0,1774.5190000000002,8.0,521.0,1200.0,52.0,51.0,7.0,7603.855,7.0,201.0,100.0,6.0,4.0,1.0,1188.312,1
0.0,424.0,500.0,49.0,49.0,13.0,6443.281999999999,1.0,60.0,100.0,3.0,2.0,1.0,684.3599999999999,0.0,20.0,0.0,7.0,6.0,0.0,1610.4740000000004,0.0,32.0,100.0,15.0,13.0,1.0,4010.6410000000014,0
0.0,547.0,100.0,49.0,45.0,7.0,6343.7170000000015,0.0,126.0,0.0,51.0,50.0,0.0,7435.215999999999,0.0,126.0,600.0,32.0,30.0,8.0,5957.178000000001,1.0,280.0,300.0,31.0,28.0,4.0,7475.361,1
0.0,108.0,0.0,19.0,18.0,0.0,1214.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,9.0,8.0,0.0,896.0180000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,355.0,300.0,22.0,22.0,6.0,1688.361,0.0,16.0,0.0,7.0,7.0,1.0,898.2,0.0,74.0,0.0,19.0,19.0,0.0,2276.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,53.0,0.0,7.0,7.0,0.0,211.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,89.0,0.0,14.0,13.0,2.0,824.1479999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,389.0,500.0,29.0,27.0,12.0,3049.782,5.0,159.0,100.0,4.0,5.0,1.0,2990.009,8.0,308.0,400.0,9.0,8.0,4.0,3527.7909999999997,5.0,151.0,100.0,5.0,4.0,1.0,2053.282,0
0.0,25.0,0.0,4.0,3.0,0.0,229.44799999999998,0.0,545.0,700.0,135.0,134.0,12.0,31742.425000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
