id_0,order_make,remove_obstacle,ad_opened,ad_finished,energy_get,coin_cost,coin_get,ruby_cost,ruby_get,label
02ca77a5ed8de195,53.0,176.0,2.0,4.0,788.0,3200.0,3409.0,137.0,145.0,1
b04e7733c0edd9d1,2.0,3.0,0.0,0.0,25.0,0.0,279.0,0.0,15.0,0
c600fcc8ffcba90d,23.0,118.0,2.0,1.0,874.0,2175.0,2469.0,69.0,209.0,0
67103b558eb79832,53.0,326.0,48.0,32.0,1458.0,3865.0,3940.0,52.0,114.0,1
b1378e74087218a6,58.0,234.0,2.0,2.0,2241.0,8180.0,8231.0,1493.0,1497.0,1
f31f1c28a0c71f32,4.0,31.0,0.0,0.0,165.0,0.0,727.0,25.0,41.0,1
29b4a062925ab9bf,11.0,82.0,0.0,5.0,695.0,1050.0,1376.0,25.0,56.0,0
2fa200d2caf1cee5,2.0,12.0,0.0,0.0,50.0,0.0,409.0,0.0,20.0,0
BB01CC43-FB1E-4C4A-90F0-87F4561818CA,2.0,3.0,0.0,0.0,25.0,0.0,284.0,0.0,15.0,0
8ab974a0a788fedc,12.0,66.0,0.0,0.0,475.0,1000.0,1545.0,61.0,156.0,0
0c3cb442d7a121d9,58.0,252.0,4.0,2.0,1959.0,5585.0,5621.0,641.0,655.0,1
2B61C930-AABF-4767-B050-E6B2F7A73C3F,11.0,70.0,0.0,0.0,465.0,700.0,1352.0,17.0,54.0,0
2096c2272c1b884c,5.0,10.0,0.0,1.0,50.0,0.0,440.0,18.0,20.0,0
259c5af6a0cae1ea,3.0,21.0,0.0,0.0,50.0,0.0,493.0,1.0,20.0,0
bcd6b16da2a44014,25.0,122.0,37.0,18.0,1020.0,2050.0,2740.0,210.0,732.0,1
1365187a4304f300,125.0,526.0,14.0,137.0,3808.0,7005.0,7283.0,289.0,301.0,1
26F0F526-0092-4ACF-805A-3856E08F5991,106.0,542.0,4.0,3.0,3215.0,5420.0,5660.0,425.0,453.0,1
40a64c589dc78572,4.0,22.0,0.0,0.0,50.0,0.0,719.0,1.0,21.0,1
00A08C58-7B59-4F35-9252-72D888D5F1E8,51.0,229.0,2.0,4.0,1220.0,1150.0,3211.0,101.0,187.0,1
34925f98cc7b0f1b,0.0,3.0,0.0,0.0,25.0,0.0,274.0,0.0,15.0,0
edc7d33d5b4a03dd,0.0,3.0,0.0,0.0,0.0,0.0,226.0,0.0,5.0,0
cafebe5a7a5344f6,46.0,211.0,4.0,3.0,975.0,1125.0,3959.0,150.0,675.0,1
dc78320c2587da43,10.0,75.0,0.0,0.0,591.0,1405.0,1415.0,49.0,56.0,0
0e4c7f292550efd1,23.0,121.0,0.0,0.0,751.0,2235.0,2243.0,109.0,119.0,1
